Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
6.6;3;4.4;1.4;Iris versicolor;A92;48.329.837;-65.512.333;01/12/1929;Site3
7.7;2.8;6.7;2;Iris virginica;A108;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.6;5.6;1.4;Iris virginica;A112;48.935.966;-64.840.984;01/12/1929;Site1
6.1;3;4.6;1.4;Iris versicolor;A81;48.540.502;-64.766.512;01/12/1929;Site2
7;3.2;4.7;1.4;Iris versicolor;A51;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.8;4.7;1.2;Iris versicolor;A75;48.540.502;-64.766.512;01/12/1929;Site2
5.4;3.7;1.5;0.2;Iris setosa;A32;48.540.502;-64.766.512;01/12/1929;Site2
5.7;3.8;1.7;0.3;Iris setosa;A34;48.329.837;-65.512.333;01/12/1929;Site3
5.5;2.3;4;1.3;Iris versicolor;A52;48.935.966;-64.840.984;01/12/1929;Site1
5.4;3.4;1.7;0.2;Iris setosa;A21;48.935.966;-64.840.984;01/12/1929;Site1
5.2;4.1;1.5;0.1;Iris setosa;A33;48.935.966;-64.840.984;01/12/1929;Site1
4.4;3;1.3;0.2;Iris setosa;A39;48.935.966;-64.840.984;01/12/1929;Site1
4.6;3.6;1;0.2;Iris setosa;A23;48.540.502;-64.766.512;13/02/1930;Site2
5;3.3;1.4;0.2;Iris setosa;A50;48.540.502;-64.766.512;13/02/1930;Site2
5;3.6;1.4;0.2;Iris setosa;A5;48.540.502;-64.766.512;13/02/1930;Site2
5.1;3.7;1.5;0.4;Iris setosa;A22;48.329.837;-65.512.333;01/12/1929;Site3
4.8;3;1.4;0.3;Iris setosa;A46;48.329.837;-65.512.333;01/12/1929;Site3
5.9;3.2;4.8;1.8;Iris versicolor;A71;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.4;3.7;1;Iris versicolor;A82;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.9;4.2;1.3;Iris versicolor;A97;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.9;5.6;1.8;Iris virginica;A104;48.540.502;-64.766.512;13/02/1930;Site2
5.6;2.8;4.9;2;Iris virginica;A122;48.540.502;-64.766.512;13/02/1930;Site2
6.7;3.3;5.7;2.1;Iris virginica;A125;48.540.502;-64.766.512;13/02/1930;Site2
6.4;2.7;5.3;1.9;Iris virginica;A112;48.329.837;-65.512.333;01/12/1929;Site3
4.7;3.2;1.3;0.2;Iris setosa;A3;48.935.966;-64.840.984;01/12/1929;Site1
4.6;3.1;1.5;0.2;Iris setosa;A4;48.329.837;-65.512.333;01/12/1929;Site3
4.6;3.4;1.4;0.3;Iris setosa;A7;48.329.837;-65.512.333;01/12/1929;Site3
4.8;3.4;1.9;0.2;Iris setosa;A25;48.329.837;-65.512.333;01/12/1929;Site3
5;3.4;1.6;0.4;Iris setosa;A27;48.935.966;-64.840.984;01/12/1929;Site1
5.6;2.9;3.6;1.3;Iris setosa;A65;48.540.502;-64.766.512;13/02/1930;Site2
6.1;2.8;4;1.3;Iris setosa;A72;48.935.966;-64.840.984;01/12/1929;Site1
6.8;2.8;4.8;1.4;Iris setosa;A77;48.540.502;-64.766.512;13/02/1930;Site2
6.7;3;5;1.7;Iris setosa;A78;48.935.966;-64.840.984;01/12/1929;Site1
5.4;3;4.5;1.5;Iris setosa;A85;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.9;5.6;1.8;Iris setosa;A104;48.540.502;-64.766.512;13/02/1930;Site2
7.6;3;6.6;2.1;Iris setosa;A106;48.329.837;-65.512.333;01/12/1929;Site3
6.5;3.2;5.1;2;Iris setosa;A111;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.6;5.6;1.4;Iris setosa;A135;48.935.966;-64.840.984;01/12/1929;Site1
6;3;4.8;1.8;Iris setosa;A139;48.329.837;-65.512.333;01/12/1929;Site3
5.8;4;1.2;0.2;Iris setosa;A15;48.935.966;-64.840.984;01/12/1929;Site1
5.4;3.4;1.7;0.2;Iris setosa;A21;48.935.966;-64.840.984;01/12/1929;Site1
5.1;3.4;1.5;0.2;Iris setosa;A40;48.329.837;-65.512.333;01/12/1929;Site3
5.3;3.7;1.5;0.2;Iris setosa;A49;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.8;4.5;1.3;Iris versicolor;A56;48.540.502;-64.766.512;13/02/1930;Site2
4.9;2.4;3.3;1;Iris versicolor;A58;48.329.837;-65.512.333;01/12/1929;Site3
5.9;3;4.2;1.5;Iris versicolor;A62;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.5;4;1.3;Iris versicolor;A90;48.935.966;-64.840.984;01/12/1929;Site1
6.3;3.3;6;2.5;Iris virginica;A101;48.540.502;-64.766.512;13/02/1930;Site2
4.9;2.5;4.5;1.7;Iris virginica;A107;48.540.502;-64.766.512;13/02/1930;Site2
5.8;2.8;5.1;2.4;Iris virginica;A115;48.329.837;-65.512.333;01/12/1929;Site3
6.4;3.2;5.3;2.3;Iris virginica;A116;48.540.502;-64.766.512;13/02/1930;Site2
6.9;3.2;5.7;2.3;Iris virginica;A121;48.329.837;-65.512.333;01/12/1929;Site3
6.2;2.8;4.8;1.8;Iris virginica;A127;48.329.837;-65.512.333;01/12/1929;Site3
6.9;3.1;5.4;2.1;Iris virginica;A140;48.540.502;-64.766.512;13/02/1930;Site2
6.2;2.8;4.8;1.8;Iris virginica;A127;48.329.837;-65.512.333;01/12/1929;Site3
5.3;3.7;1.5;0.2;Iris setosa;A49;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.8;4.1;1.3;Iris versicolor;A100;48.329.837;-65.512.333;01/12/1929;Site3
4.7;3.2;1.3;0.2;Iris setosa;A3;48.935.966;-64.840.984;01/12/1929;Site1
6.9;3.1;5.4;2.1;Iris virginica;A140;48.540.502;-64.766.512;13/02/1930;Site2
6.4;2.8;5.6;2.2;Iris virginica;A133;48.329.837;-65.512.333;01/12/1929;Site3
5.8;2.7;5.1;1.9;Iris virginica;A143;48.540.502;-64.766.512;13/02/1930;Site3
4.6;3.4;1.4;0.3;Iris setosa;A7;48.329.837;-65.512.333;01/12/1929;Site3
6.5;3.0;5.2;2.0;Iris virginica;A148;48.329.837;-65.512.333;01/12/1929;Site3
5.0;2.3;3.3;1.0;Iris versicolor;A94;48.329.837;-65.512.333;01/12/1929;Site3
5.0;2.0;3.5;1.0;Iris versicolor;A61;48.329.837;-65.512.333;01/12/1929;Site3
4.4;2.9;1.4;0.2;Iris setosa;A9;48.935.966;-64.840.984;01/12/1929;Site1
6.7;3.1;4.7;1.5;Iris versicolor;A87;48.935.966;-64.840.984;01/12/1929;Site1
6.9;3.2;5.7;2.3;Iris virginica;A121;48.329.837;-65.512.333;01/12/1929;Site3
6.2;2.2;4.5;1.5;Iris versicolor;A69;48.935.966;-64.840.984;01/12/1929;Site1
5.9;3;5.1;1.8;Iris virginica;A17;48.935.966;-64.840.984;01/12/1929;Site1
6.3;3.4;5.6;2.4;Iris virginica;A130;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.4;3.8;1.1;Iris versicolor;A61;48.935.966;-64.840.984;01/12/1929;Site1
4.8;3.1;1.6;0.2;Iris setosa;A38;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.8;5.1;1.5;Iris virginica;A129;48.540.502;-64.766.512;13/02/1930;Site2
6.8;3;5.5;2.1;Iris virginica;A122;48.540.502;-64.766.512;13/02/1930;Site2
5.1;3.4;1.5;0.2;Iris setosa;A41;48.329.837;-65.512.333;01/12/1929;Site3
5.7;3;4.2;1.2;Iris versicolor;A66;48.935.966;-64.840.984;01/12/1929;Site1
6.4;3.2;4.5;1.5;Iris versicolor;A84;48.329.837;-65.512.333;01/12/1929;Site3
6.7;2.5;5.8;1.8;Iris virginica;A137;48.329.837;-65.512.333;01/12/1929;Site3
5.4;3;4.5;1.5;Iris versicolor;A95;48.329.837;-65.512.333;01/12/1929;Site3
7.7;3;6.1;2.3;Iris virginica;A146;48.329.837;-65.512.333;01/12/1929;Site3
6;3.4;4.5;1.6;Iris versicolor;A79;48.540.502;-64.766.512;13/02/1930;Site2
5.6;3;4.1;1.3;Iris versicolor;A80;48.540.502;-64.766.512;13/02/1930;Site2
6.3;3.3;4.7;1.6;Iris versicolor;A53;48.935.966;-64.840.984;01/12/1929;Site1
