Sepal.Length;Sepal.Width;Petal.Length;Petal.Wigth;Species;amostra;lat;long;date;area;
6.6;3;4.4;1.4;Iris_versicolor;A92;48935966;-65512333;01/12/1929;Site3;
7.7;2.8;6.7;2;Iris_virginica;A108;48935966;-64840984;01/12/1929;Site1;
6.1;2.6;5.6;1.4;Iris_virginica;A112;48540502;-64840984;01/12/1929;Site1;
6.1;3;4.6;1.4;Iris_versicolor;A81;48935966;-64766512;01/12/1929;Site2;
7;3.2;4.7;1.4;Iris_versicolor;A51;48540502;-64840984;01/12/1929;Site1;
6.1;2.8;4.7;1.2;Iris_versicolor;A75;48540502;-64766512;01/12/1929;Site2;
5.4;3.7;1.5;0.2;Iris_setosa;A32;48329837;-64766512;01/12/1929;Site2;
5.7;3.8;1.7;0.3;Iris_setosa;A34;48935966;-65512333;01/12/1929;Site3;
5.5;2.3;4;1.3;Iris_versicolor;A52;48935966;-64840984;01/12/1929;Site1;
5.4;3.4;1.7;0.2;Iris_setosa;A21;48935966;-64840984;01/12/1929;Site1;
5.2;4.1;1.5;0.1;Iris_setosa;A33;48935966;-64840984;01/12/1929;Site1;
4.4;3;1.3;0.2;Iris_setosa;A39;48540502;-64840984;01/12/1929;Site1;
4.6;3.6;1;0.2;Iris_setosa;A23;48540502;-64766512;13/02/1930;Site2;
5;3.3;1.4;0.2;Iris_setosa;A50;48540502;-64766512;13/02/1930;Site2;
5;3.6;1.4;0.2;Iris_setosa;A5;48329837;-64766512;13/02/1930;Site2;
5.1;3.7;1.5;0.4;Iris_setosa;A22;48329837;-65512333;01/12/1929;Site3;
4.8;3;1.4;0.3;Iris_setosa;A46;48540502;-65512333;01/12/1929;Site3;
5.9;3.2;4.8;1.8;Iris_versicolor;A71;48329837;-64766512;13/02/1930;Site2;
5.5;2.4;3.7;1;Iris_versicolor;A82;48329837;-65512333;01/12/1929;Site3;
5.7;2.9;4.2;1.3;Iris_versicolor;A97;48540502;-65512333;01/12/1929;Site3;
6.3;2.9;5.6;1.8;Iris_virginica;A104;48540502;-64766512;13/02/1930;Site2;
5.6;2.8;4.9;2;Iris_virginica;A122;48540502;-64766512;13/02/1930;Site2;
6.7;3.3;5.7;2.1;Iris_virginica;A125;48329837;-64766512;13/02/1930;Site2;
6.4;2.7;5.3;1.9;Iris_virginica;A112;48935966;-65512333;01/12/1929;Site3;
4.7;3.2;1.3;0.2;Iris_setosa;A3;48329837;-64840984;01/12/1929;Site1;
4.6;3.1;1.5;0.2;Iris_setosa;A4;48329837;-65512333;01/12/1929;Site3;
4.6;3.4;1.4;0.3;Iris_setosa;A7;48329837;-65512333;01/12/1929;Site3;
4.8;3.4;1.9;0.2;Iris_setosa;A25;48935966;-65512333;01/12/1929;Site3;
5;3.4;1.6;0.4;Iris_setosa;A27;48540502;-64840984;01/12/1929;Site1;
5.6;2.9;3.6;1.3;Iris_setosa;A65;48935966;-64766512;13/02/1930;Site2;
6.1;2.8;4;1.3;Iris_setosa;A72;48540502;-64840984;01/12/1929;Site1;
6.8;2.8;4.8;1.4;Iris_setosa;A77;48935966;-64766512;13/02/1930;Site2;
6.7;3;5;1.7;Iris_setosa;A78;48329837;-64840984;01/12/1929;Site1;
5.4;3;4.5;1.5;Iris_setosa;A85;48540502;-65512333;01/12/1929;Site3;
6.3;2.9;5.6;1.8;Iris_setosa;A104;48329837;-64766512;13/02/1930;Site2;
7.6;3;6.6;2.1;Iris_setosa;A106;48935966;-65512333;01/12/1929;Site3;
6.5;3.2;5.1;2;Iris_setosa;A111;48935966;-64840984;01/12/1929;Site1;
6.1;2.6;5.6;1.4;Iris_setosa;A135;48329837;-64840984;01/12/1929;Site1;
6;3;4.8;1.8;Iris_setosa;A139;48935966;-65512333;01/12/1929;Site3;
5.8;4;1.2;0.2;Iris_setosa;A15;48935966;-64840984;01/12/1929;Site1;
5.4;3.4;1.7;0.2;Iris_setosa;A21;48329837;-64840984;01/12/1929;Site1;
5.1;3.4;1.5;0.2;Iris_setosa;A40;48329837;-65512333;01/12/1929;Site3;
5.3;3.7;1.5;0.2;Iris_setosa;A49;48540502;-65512333;01/12/1929;Site3;
5.7;2.8;4.5;1.3;Iris_versicolor;A56;48329837;-64766512;13/02/1930;Site2;
4.9;2.4;3.3;1;Iris_versicolor;A58;48540502;-65512333;01/12/1929;Site3;
5.9;3;4.2;1.5;Iris_versicolor;A62;48935966;-64766512;13/02/1930;Site2;
5.5;2.5;4;1.3;Iris_versicolor;A90;48540502;-64840984;01/12/1929;Site1;
6.3;3.3;6;2.5;Iris_virginica;A101;48540502;-64766512;13/02/1930;Site2;
4.9;2.5;4.5;1.7;Iris_virginica;A107;48329837;-64766512;13/02/1930;Site2;
5.8;2.8;5.1;2.4;Iris_virginica;A115;48540502;-65512333;01/12/1929;Site3;
6.4;3.2;5.3;2.3;Iris_virginica;A116;48329837;-64766512;13/02/1930;Site2;
6.9;3.2;5.7;2.3;Iris_virginica;A121;48329837;-65512333;01/12/1929;Site3;
6.2;2.8;4.8;1.8;Iris_virginica;A127;48540502;-65512333;01/12/1929;Site3;
6.9;3.1;5.4;2.1;Iris_virginica;A140;48329837;-64766512;13/02/1930;Site2;
6.2;2.8;4.8;1.8;Iris_virginica;A127;48329837;-65512333;01/12/1929;Site3;
5.3;3.7;1.5;0.2;Iris_setosa;A49;48329837;-65512333;01/12/1929;Site3;
5.7;2.8;4.1;1.3;Iris_versicolor;A100;48935966;-65512333;01/12/1929;Site3;
4.7;3.2;1.3;0.2;Iris_setosa;A3;48540502;-64840984;01/12/1929;Site1;
6.9;3.1;5.4;2.1;Iris_virginica;A140;48329837;-64766512;13/02/1930;Site2;
6.4;2.8;5.6;2.2;Iris_virginica;A133;48540502;-65512333;01/12/1929;Site3;
5.8;2.7;5.1;1.9;Iris_virginica;A143;48329837;-64766512;13/02/1930;Site3;
4.6;3.4;1.4;0.3;Iris_setosa;A7;48329837;-65512333;01/12/1929;Site3;
6.5;3.0;5.2;2.0;Iris_virginica;A148;48329837;-65512333;01/12/1929;Site3;
5.0;2.3;3.3;1.0;Iris_versicolor;A94;48329837;-65512333;01/12/1929;Site3;
5.0;2.0;3.5;1.0;Iris_versicolor;A61;48935966;-65512333;01/12/1929;Site3;
4.4;2.9;1.4;0.2;Iris_setosa;A9;48935966;-64840984;01/12/1929;Site1;
6.7;3.1;4.7;1.5;Iris_versicolor;A87;48329837;-64840984;01/12/1929;Site1;
6.9;3.2;5.7;2.3;Iris_virginica;A121;48935966;-65512333;01/12/1929;Site3;
6.2;2.2;4.5;1.5;Iris_versicolor;A69;48935966;-64840984;01/12/1929;Site1;
5.9;3;5.1;1.8;Iris_virginica;A17;48540502;-64840984;01/12/1929;Site1;
6.3;3.4;5.6;2.4;Iris_virginica;A130;48935966;-64766512;13/02/1930;Site2;
5.5;2.4;3.8;1.1;Iris_versicolor;A61;48329837;-64840984;01/12/1929;Site1;
4.8;3.1;1.6;0.2;Iris_setosa;A38;48540502;-65512333;01/12/1929;Site3;
6.3;2.8;5.1;1.5;Iris_virginica;A129;48540502;-64766512;13/02/1930;Site2;
6.8;3;5.5;2.1;Iris_virginica;A122;48329837;-64766512;13/02/1930;Site2;
5.1;3.4;1.5;0.2;Iris_setosa;A41;48935966;-65512333;01/12/1929;Site3;
5.7;3;4.2;1.2;Iris_versicolor;A66;48329837;-64840984;01/12/1929;Site1;
6.4;3.2;4.5;1.5;Iris_versicolor;A84;48329837;-65512333;01/12/1929;Site3;
6.7;2.5;5.8;1.8;Iris_virginica;A137;48329837;-65512333;01/12/1929;Site3;
5.4;3;4.5;1.5;Iris_versicolor;A95;48329837;-65512333;01/12/1929;Site3;
7.7;3;6.1;2.3;Iris_virginica;A146;48540502;-65512333;01/12/1929;Site3;
6;3.4;4.5;1.6;Iris_versicolor;A79;48540502;-64766512;13/02/1930;Site2;
5.6;3;4.1;1.3;Iris_versicolor;A80;48935966;-64766512;13/02/1930;Site2;
6.3;3.3;4.7;1.6;Iris_versicolor;A53;48329837;-64840984;01/12/1929;Site1;
